start_pacific,end_pacific,duration_sec,video_id,url
2026-09-07 10:23:04 AM,10:23:29 AM,25,v2867942031,https://www.twitch.tv/videos/2867942031
2026-09-07 10:23:39 AM,10:24:04 AM,25,v2867942538,https://www.twitch.tv/videos/2867942538
2026-09-07 10:24:14 AM,10:24:36 AM,22,v2867943044,https://www.twitch.tv/videos/2867943044
2026-09-07 10:24:47 AM,10:25:09 AM,22,v2867943522,https://www.twitch.tv/videos/2867943522
2026-09-07 10:25:19 AM,10:25:41 AM,22,v2867944005,https://www.twitch.tv/videos/2867944005
2026-09-07 10:25:52 AM,10:26:09 AM,17,v2867944486,https://www.twitch.tv/videos/2867944486
2026-09-07 10:26:18 AM,10:26:35 AM,17,v2867944851,https://www.twitch.tv/videos/2867944851
2026-09-07 10:26:45 AM,10:27:04 AM,19,v2867945235,https://www.twitch.tv/videos/2867945235
2026-09-07 10:27:14 AM,10:27:33 AM,19,v2867945666,https://www.twitch.tv/videos/2867945666
2026-09-07 10:27:43 AM,10:28:03 AM,20,v2867946059,https://www.twitch.tv/videos/2867946059
2026-09-07 10:28:13 AM,10:28:33 AM,20,v2867946499,https://www.twitch.tv/videos/2867946499
2026-09-07 10:28:44 AM,10:29:04 AM,20,v2867946968,https://www.twitch.tv/videos/2867946968
2026-09-07 10:29:14 AM,10:29:35 AM,21,v2867947403,https://www.twitch.tv/videos/2867947403
2026-09-07 10:29:45 AM,10:30:06 AM,21,v2867947907,https://www.twitch.tv/videos/2867947907
2026-09-07 10:30:16 AM,10:30:37 AM,21,v2867948422,https://www.twitch.tv/videos/2867948422
2026-09-07 10:30:47 AM,10:31:09 AM,22,v2867948923,https://www.twitch.tv/videos/2867948923
2026-09-07 10:31:19 AM,10:31:41 AM,22,v2867949407,https://www.twitch.tv/videos/2867949407
2026-09-07 10:31:52 AM,10:32:14 AM,22,v2867949931,https://www.twitch.tv/videos/2867949931
2026-09-07 10:32:24 AM,10:32:46 AM,22,v2867950434,https://www.twitch.tv/videos/2867950434
2026-09-07 10:32:56 AM,10:33:17 AM,21,v2867950925,https://www.twitch.tv/videos/2867950925
2026-09-07 10:33:27 AM,10:33:46 AM,19,v2867951409,https://www.twitch.tv/videos/2867951409
2026-09-07 10:33:57 AM,10:34:16 AM,19,v2867951858,https://www.twitch.tv/videos/2867951858
2026-09-07 10:34:26 AM,10:34:46 AM,20,v2867952260,https://www.twitch.tv/videos/2867952260
2026-09-07 10:34:56 AM,10:35:14 AM,18,v2867952675,https://www.twitch.tv/videos/2867952675
2026-09-07 10:35:24 AM,10:35:42 AM,18,v2867953054,https://www.twitch.tv/videos/2867953054
